entry,name,body_size,called_functions,callers
"0x8001b9d0","FUN_8001b9d0","296","FUN_80011814;FUN_80011a48;FUN_80011d44;FUN_80011dc8;FUN_800127a0",""
"0x8001baf8","FUN_8001baf8","248","FUN_80011814;FUN_80011a48","FUN_8001bbf0"
"0x8001bbf0","FUN_8001bbf0","32","FUN_8001baf8",""
"0x8001bc10","FUN_8001bc10","172","FUN_80011814;FUN_8007df30;FUN_80094044",""
"0x8001bcbc","FUN_8001bcbc","236","FUN_80011814;FUN_80011c88;FUN_80012bc8;FUN_80094044",""
"0x8001bda8","FUN_8001bda8","156","FUN_80011814;FUN_8007df30",""
"0x8001be44","FUN_8001be44","32","FUN_80018578",""
"0x8001be64","FUN_8001be64","264","FUN_80011814;FUN_80011c1c",""
"0x8001bf6c","FUN_8001bf6c","376","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_80011dc8;FUN_800127a0",""
"0x8001c0e4","FUN_8001c0e4","312","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_80011dc8;FUN_800127a0","FUN_8001c21c"
"0x8001c21c","FUN_8001c21c","32","FUN_8001c0e4",""
"0x8001c23c","FUN_8001c23c","40","FUN_8001286c",""
"0x8001c264","FUN_8001c264","44","FUN_8001c994",""
"0x8001c290","FUN_8001c290","44","FUN_8001c994",""
"0x8001c2bc","FUN_8001c2bc","44","FUN_8001c994",""
"0x8001c2e8","FUN_8001c2e8","208","FUN_80011814;FUN_80011c88;FUN_800129b4",""
"0x8001c3b8","FUN_8001c3b8","44","FUN_8001286c",""
"0x8001c3e4","FUN_8001c3e4","212","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_8007df30",""
"0x8001c4b8","FUN_8001c4b8","284","FUN_80011814;FUN_80011a48;FUN_80011d44;FUN_8007df30",""
"0x8001c5d4","FUN_8001c5d4","184","FUN_80011814;FUN_800129b4",""
"0x8001c68c","FUN_8001c68c","196","FUN_80011814;FUN_800129b4",""
"0x8001c750","FUN_8001c750","496","FUN_80011814;FUN_80011d44;FUN_80011dc8;FUN_80012170;FUN_800127a0;FUN_8006101c",""
"0x8001c940","FUN_8001c940","84","FUN_80011814",""
"0x8001c994","FUN_8001c994","192","FUN_80011814;FUN_80011c88;FUN_800129b4","FUN_8001c264;FUN_8001c290;FUN_8001c2bc"
"0x8001ca54","FUN_8001ca54","280","","FUN_800142d8;FUN_8004c418;FUN_8004dae8"
"0x8001cb6c","FUN_8001cb6c","424","","FUN_800145e4;FUN_80014738;FUN_80014a78;FUN_80015228;FUN_80015624;FUN_80015b5c;FUN_80016440;FUN_80016840;FUN_80016f30;FUN_8001720c;FUN_800172d4;FUN_80017a8c;FUN_80017fc8;FUN_800192ec;FUN_80019420;FUN_80019b5c;FUN_8001cf7c;FUN_8001d070;FUN_80046854;FUN_8004cb94;FUN_8004e004"
"0x8001cd14","FUN_8001cd14","424","","FUN_800142d8;FUN_8004c418;FUN_8004dae8"
"0x8001cebc","FUN_8001cebc","192","FUN_8005f6d0","FUN_8001cf7c;FUN_8001d070"
"0x8001cf7c","FUN_8001cf7c","244","FUN_8001cb6c;FUN_8001cebc;FUN_8005f6d0",""
"0x8001d070","FUN_8001d070","352","FUN_8001cb6c;FUN_8001cebc;FUN_8007a998;FUN_8007acb8",""
"0x8001d1d0","FUN_8001d1d0","484","FUN_8005f6d0;FUN_80087a9c",""
"0x8001d5b4","FUN_8001d5b4","140","FUN_80041da4;FUN_8007e64c","FUN_8001d6cc;FUN_80064b1c"
"0x8001d640","FUN_8001d640","140","FUN_800425cc;FUN_80042774","FUN_8001d6cc"
