final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x80018578,0x80018444,lara_col_stop,GAME/LARA.C,3169,<;<;F,"18444(<), 18578(<) (F)"
0x80018650,0x8001851c,lara_as_upjump,GAME/LARA.C,3161,<;<;F,"1851C(<), 18650(<) (F)"
0x80018670,0x8001853c,lara_col_upjump,GAME/LARA.C,2990,F,"1853C, 18670 (F)"
0x80018b68,0x80018a34,lara_as_forwardjump,GAME/LARA.C,2938,F,"18A34, 18B68 (F)"
0x80018cbc,0x80018b88,lara_col_forwardjump,GAME/LARA.C,2897,F,"18B88, 18CBC (F)"
0x80018e14,0x80018ce0,lara_as_reach,GAME/LARA.C,2890,<;<;F,"18CE0(<), 18E14(<) (F)"
0x80018e40,0x80018d0c,lara_col_reach,GAME/LARA.C,2544,F,"18D0C, 18E40 (F)"
0x800192ec,0x800191b8,lara_as_walk,GAME/LARA.C,2498,<;<;F,"191B8(<), 192EC(<) (F)"
0x80019420,0x800192ec,lara_as_run,GAME/LARA.C,2398,F,"192EC, 19420 (F)"
0x800196d0,0x8001959c,lara_as_fallback,GAME/LARA.C,1677,<;<;F,"1959C(<), 196D0(<) (F)"
0x800196d0,0x8001959c,lara_as_fastback,GAME/LARA.C,2381,<;<;F,"1959C(<), 196D0(<) (F)"
0x8001975c,0x80019628,lara_as_turn_r,GAME/LARA.C,2333,<;<;F,"19628(<), 1975C(<) (F)"
0x80019860,0x8001972c,lara_as_turn_l,GAME/LARA.C,2285,<;<;F,"1972C(<), 19860(<) (F)"
0x80019964,0x80019830,lara_as_death,GAME/LARA.C,2270,<;<;F,"19830(<), 19964(<) (F)"
0x800199f0,0x800198bc,lara_as_fastfall,GAME/LARA.C,2263,<;<;F,"198BC(<), 199F0(<) (F)"
0x80019a5c,0x80019928,lara_void_func,GAME/LARA.C,2258,<;<;F,"19928(<), 19A5C(<) (F)"
0x80019a64,0x80019930,CanLaraHangSideways,GAME/LARA.C,2217,F,"19930, 19A64 (F)"
0x80019b5c,0x80019a28,lara_as_hang,GAME/LARA.C,2196,F,"19A28, 19B5C (F)"
0x80019bfc,0x80019ac8,lara_col_hang,GAME/LARA.C,2040,F,"19AC8, 19BFC (F)"
0x8001a07c,0x80019f48,lara_as_hangleft,GAME/LARA.C,2030,<;<;F,"19F48(<), 1A07C(<) (F)"
0x8001a0c8,0x80019f94,lara_col_hangleft,GAME/LARA.C,2022,<;<;F,"19F94(<), 1A0C8(<) (F)"
0x8001a120,0x80019fec,lara_as_hangright,GAME/LARA.C,2012,<;<;F,"19FEC(<), 1A120(<) (F)"
0x8001a16c,0x8001a038,lara_col_hangright,GAME/LARA.C,2004,<;<;F,"1A038(<), 1A16C(<) (F)"
0x8001a1c4,0x8001a090,SetCornerAnim,GAME/LARA.C,1954,F,"1A090, 1A1C4 (F)"
0x8001a324,0x8001a1f0,lara_as_extcornerl,GAME/LARA.C,1945,<;<;F,"1A1F0(<), 1A324(<) (F)"
0x8001a378,0x8001a244,lara_as_extcornerr,GAME/LARA.C,1936,<;<;F,"1A244(<), 1A378(<) (F)"
0x8001a3cc,0x8001a298,lara_as_intcornerl,GAME/LARA.C,1927,<;<;F,"1A298(<), 1A3CC(<) (F)"
