final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x80020ff8,0x80020dec,SetCutNotPlayed,GAME/CONTROL.C,2043,<;<;F,"20DEC(<), 20FF8(<) (F)"
0x80021040,0x80020e34,CheckCutPlayed,GAME/CONTROL.C,2035,<;<;F,"20E34(<), 21040(<) (F)"
0x80021800,0x80021800,InitialiseCreature,GAME/BOX.C,1079,<;F,"21800(<), ? (F)"
0x800218b0,0x800218b0,CreatureActive,GAME/BOX.C,1058,<;F,"218B0(<), ? (F)"
0x80022034,0x80022034,UpdateLOT,GAME/BOX.C,827,<;F,"22034(<), ? (F)"
0x800220f4,0x800220f4,TargetBox,GAME/BOX.C,803,<;F,"220F4(<), ? (F)"
0x800221c4,0x800221c4,EscapeBox,GAME/BOX.C,733,<,"221C4(<), ?"
0x800222a4,0x800222a4,ValidBox,GAME/BOX.C,703,<;F,"222A4(<), ? (F)"
0x80024484,0x80024484,CreatureJoint,GAME/BOX.C,527,<;F,24484(<) ? (F)
0x80024524,0x80024524,CreatureFloat,GAME/BOX.C,480,<;F,"24524(<), (?) (F)"
0x80024624,0x80024418,CreatureTilt,GAME/BOX.C,561,<;<;F,"24418(<), 24624(<) (F)"
0x8002468c,0x8002468c,CreatureUnderwater,GAME/BOX.C,437,<;F,"?, 2468C(<) (F)"
0x80024df0,0x80024df0,AIGuard,GAME/BOX.C,190,<;F,"24DF0(<), ? (F)"
0x80024f2c,0x80024d20,AlertNearbyGuards,GAME/BOX.C,226,<;<;F,"24D20(<), 24F2C(<) (F)"
0x800255f8,0x800255f8,SameZone,GAME/BOX.C,121,<;F,"255F8(<), ? (F)"
0x80025738,0x80025738,CreatureYRot,GAME/BOX.C,102,<;F,"25738(<), ? (F)"
0x80025bc8,0x800259bc,DropBaddyPickups,GAME/BOX.C,42,<;<;F,"259BC(<), 25BC8(<) (F)"
